"Vuosi";"Miehet 0";"Miehet 1";"Miehet 2";"Miehet 3";"Miehet 4";"Miehet 5";"Miehet 6";"Miehet 7";"Miehet 8";"Miehet 9";"Miehet 10";"Miehet 11";"Miehet 12";"Miehet 13";"Miehet 14";"Miehet 15";"Miehet 16";"Miehet 17";"Miehet 18";"Miehet 19";"Miehet 20";"Miehet 21";"Miehet 22";"Miehet 23";"Miehet 24";"Miehet 25";"Miehet 26";"Miehet 27";"Miehet 28";"Miehet 29";"Miehet 30";"Miehet 31";"Miehet 32";"Miehet 33";"Miehet 34";"Miehet 35";"Miehet 36";"Miehet 37";"Miehet 38";"Miehet 39";"Miehet 40";"Miehet 41";"Miehet 42";"Miehet 43";"Miehet 44";"Miehet 45";"Miehet 46";"Miehet 47";"Miehet 48";"Miehet 49";"Miehet 50";"Miehet 51";"Miehet 52";"Miehet 53";"Miehet 54";"Miehet 55";"Miehet 56";"Miehet 57";"Miehet 58";"Miehet 59";"Miehet 60";"Miehet 61";"Miehet 62";"Miehet 63";"Miehet 64";"Miehet 65";"Miehet 66";"Miehet 67";"Miehet 68";"Miehet 69";"Miehet 70";"Miehet 71";"Miehet 72";"Miehet 73";"Miehet 74";"Miehet 75";"Miehet 76";"Miehet 77";"Miehet 78";"Miehet 79";"Miehet 80";"Miehet 81";"Miehet 82";"Miehet 83";"Miehet 84";"Miehet 85";"Miehet 86";"Miehet 87";"Miehet 88";"Miehet 89";"Miehet 90";"Miehet 91";"Miehet 92";"Miehet 93";"Miehet 94";"Miehet 95";"Miehet 96";"Miehet 97";"Miehet 98";"Miehet 99";"Miehet 100 -";"Naiset 0";"Naiset 1";"Naiset 2";"Naiset 3";"Naiset 4";"Naiset 5";"Naiset 6";"Naiset 7";"Naiset 8";"Naiset 9";"Naiset 10";"Naiset 11";"Naiset 12";"Naiset 13";"Naiset 14";"Naiset 15";"Naiset 16";"Naiset 17";"Naiset 18";"Naiset 19";"Naiset 20";"Naiset 21";"Naiset 22";"Naiset 23";"Naiset 24";"Naiset 25";"Naiset 26";"Naiset 27";"Naiset 28";"Naiset 29";"Naiset 30";"Naiset 31";"Naiset 32";"Naiset 33";"Naiset 34";"Naiset 35";"Naiset 36";"Naiset 37";"Naiset 38";"Naiset 39";"Naiset 40";"Naiset 41";"Naiset 42";"Naiset 43";"Naiset 44";"Naiset 45";"Naiset 46";"Naiset 47";"Naiset 48";"Naiset 49";"Naiset 50";"Naiset 51";"Naiset 52";"Naiset 53";"Naiset 54";"Naiset 55";"Naiset 56";"Naiset 57";"Naiset 58";"Naiset 59";"Naiset 60";"Naiset 61";"Naiset 62";"Naiset 63";"Naiset 64";"Naiset 65";"Naiset 66";"Naiset 67";"Naiset 68";"Naiset 69";"Naiset 70";"Naiset 71";"Naiset 72";"Naiset 73";"Naiset 74";"Naiset 75";"Naiset 76";"Naiset 77";"Naiset 78";"Naiset 79";"Naiset 80";"Naiset 81";"Naiset 82";"Naiset 83";"Naiset 84";"Naiset 85";"Naiset 86";"Naiset 87";"Naiset 88";"Naiset 89";"Naiset 90";"Naiset 91";"Naiset 92";"Naiset 93";"Naiset 94";"Naiset 95";"Naiset 96";"Naiset 97";"Naiset 98";"Naiset 99";"Naiset 100 -"
"2044";28567;28794;28963;29125;29259;29352;29450;29511;29585;29646;29713;29817;29907;30051;30182;30342;30543;30776;31050;31339;31629;31872;32184;32568;32955;33337;33675;33985;34225;34460;34975;35680;36351;36640;37441;37192;36961;36772;36844;36114;36437;35636;35411;35430;35931;35994;35649;36402;37240;38037;38668;38453;39394;38649;38745;37635;37462;35790;35881;36421;37015;37367;36877;34912;34391;33558;33510;33206;33000;32087;30023;27402;27771;27760;28094;28210;29251;29332;28624;27831;27425;26551;25068;23508;21900;20337;18144;17209;15751;13686;11591;9641;8109;6279;5020;3941;2942;2038;1291;738;634;27339;27544;27727;27848;27956;28050;28139;28222;28288;28344;28444;28522;28619;28761;28884;29039;29207;29412;29671;29870;30056;30314;30643;30995;31381;31697;31952;32195;32391;32541;32956;33399;34260;34616;35008;34970;34734;34352;34587;34140;33995;33775;33110;33427;33511;33994;33688;34746;35147;36194;37095;36898;37584;37165;37138;36342;36311;34603;34680;35424;36096;36513;35731;34451;33835;33704;33258;33501;33300;32328;31060;28036;28662;29688;30271;30409;32272;32640;32473;32094;32048;31731;30581;29755;28716;27357;25312;24830;23688;21547;19661;16990;15068;12194;10360;8454;6641;4884;3323;2002;2230
"2045";28529;28766;28957;29114;29256;29389;29484;29562;29623;29671;29725;29821;29893;29997;30141;30274;30439;30654;30943;31213;31528;31791;32116;32539;32926;33337;33703;34034;34295;34538;34728;35251;35917;36537;36791;37634;37334;37066;36900;36944;36197;36492;35729;35460;35504;35981;36011;35661;36428;37216;38010;38636;38409;39333;38562;38661;37522;37335;35659;35757;36279;36851;37195;36698;34708;34198;33335;33295;32967;32742;31807;29753;27146;27480;27414;27700;27784;28733;28710;27961;27076;26543;25555;23998;22321;20588;18995;16709;15569;14072;11940;9831;7969;6628;4953;3918;2972;2096;1376;856;760;27304;27515;27713;27842;27963;28077;28174;28268;28319;28375;28464;28528;28601;28719;28833;28958;29107;29298;29568;29758;29957;30230;30581;30960;31346;31708;31973;32233;32462;32619;32760;33157;33554;34432;34731;35117;35094;34841;34461;34676;34244;34071;33870;33208;33491;33569;34044;33757;34794;35190;36233;37116;36901;37590;37143;37132;36300;36252;34563;34641;35337;36004;36442;35620;34360;33741;33571;33149;33377;33160;32179;30915;27896;28522;29515;30062;30176;31997;32306;32081;31641;31538;31089;29872;28918;27718;26227;24035;23255;21890;19583;17571;14824;12822;10145;8371;6631;4998;3471;2310;2582
"2046";28489;28719;28935;29107;29258;29388;29507;29599;29660;29711;29767;29832;29896;29986;30100;30200;30366;30556;30828;31119;31392;31692;32040;32460;32895;33307;33717;34062;34343;34606;34816;34996;35476;36105;36719;36976;37755;37447;37187;36995;37031;36272;36566;35790;35528;35554;36004;36031;35681;36399;37213;37983;38597;38339;39248;38471;38544;37411;37207;35535;35623;36108;36712;37004;36484;34525;33982;33138;33038;32715;32449;31544;29501;26849;27147;27051;27283;27310;28160;28034;27230;26210;25577;24471;22800;21032;19267;17507;15120;13933;12292;10139;8127;6530;5252;3851;2969;2121;1426;912;903;27251;27492;27683;27827;27973;28079;28195;28306;28354;28414;28487;28550;28607;28691;28797;28905;29035;29211;29456;29644;29845;30144;30480;30905;31303;31681;31980;32257;32512;32681;32829;32963;33317;33718;34570;34843;35247;35206;34922;34561;34778;34325;34175;33940;33265;33549;33629;34116;33820;34829;35222;36250;37126;36898;37585;37136;37092;36256;36211;34500;34564;35265;35924;36329;35516;34263;33632;33466;33002;33260;33021;32024;30752;27774;28372;29322;29846;29909;31676;31925;31632;31137;30927;30382;29048;27938;26597;24920;22529;21544;19912;17530;15351;12638;10680;8201;6579;4998;3553;2415;3009
"2047";28439;28679;28893;29077;29245;29398;29516;29616;29690;29752;29811;29853;29922;29984;30084;30167;30299;30484;30738;30998;31288;31567;31931;32379;32837;33256;33700;34049;34387;34665;34879;35076;35231;35667;36299;36884;37109;37859;37574;37300;37080;37081;36348;36635;35855;35581;35580;36028;36040;35667;36398;37192;37937;38525;38266;39149;38364;38422;37285;37078;35403;35487;35969;36521;36805;36294;34309;33767;32889;32794;32454;32185;31266;29184;26540;26789;26671;26834;26750;27530;27321;26380;25287;24498;23281;21512;19673;17770;15882;13548;12189;10440;8415;6672;5165;4103;2929;2123;1438;933;1014;27208;27446;27649;27807;27944;28084;28213;28327;28378;28461;28512;28577;28629;28699;28771;28873;28982;29125;29363;29543;29747;30028;30377;30824;31242;31639;31966;32255;32525;32729;32899;33038;33113;33488;33856;34678;34971;35348;35299;35022;34650;34888;34406;34249;34018;33313;33609;33700;34165;33853;34870;35250;36278;37115;36898;37573;37097;37043;36215;36138;34450;34488;35165;35825;36235;35411;34161;33518;33327;32899;33103;32873;31885;30602;27610;28200;29102;29600;29634;31318;31493;31142;30560;30229;29560;28092;26837;25293;23389;20882;19627;17852;15319;13095;10554;8659;6445;4957;3565;2477;3344
"2048";28378;28641;28834;29060;29212;29379;29505;29635;29733;29776;29838;29911;29949;30007;30072;30148;30275;30423;30638;30913;31171;31464;31823;32259;32747;33205;33657;34048;34375;34680;34943;35154;35300;35430;35857;36457;37037;37225;37978;37672;37373;37157;37157;36391;36709;35905;35616;35598;36032;36036;35668;36369;37154;37894;38451;38178;39040;38236;38293;37165;36956;35259;35331;35802;36334;36623;36058;34099;33540;32651;32530;32179;31919;30942;28844;26229;26407;26232;26294;26189;26818;26501;25451;24265;23336;21953;20147;18195;16148;14244;11864;10373;8675;6893;5293;4045;3108;2113;1443;961;1085;27155;27402;27604;27777;27912;28084;28201;28329;28411;28492;28555;28598;28673;28713;28779;28847;28951;29063;29295;29442;29636;29920;30286;30699;31171;31578;31912;32256;32527;32758;32924;33102;33188;33294;33636;33966;34797;35074;35440;35408;35120;34724;34963;34509;34307;34062;33394;33676;33747;34197;33906;34893;35276;36261;37128;36882;37542;37045;37008;36141;36079;34368;34399;35084;35731;36120;35305;34032;33397;33216;32766;32957;32720;31724;30465;27444;27990;28866;29333;29296;30906;31022;30564;29889;29442;28627;26979;25550;23760;21714;19044;17592;15636;13100;10953;8550;6812;4897;3525;2491;3554
"2049";28329;28579;28809;28997;29181;29349;29504;29626;29729;29808;29884;29940;29982;30045;30092;30145;30254;30385;30588;30823;31098;31350;31690;32158;32647;33113;33591;34013;34354;34699;34960;35194;35382;35507;35605;36042;36615;37130;37360;38079;37739;37447;37227;37208;36480;36745;35929;35638;35615;36027;36023;35647;36349;37114;37804;38369;38079;38924;38120;38161;37035;36811;35124;35163;35626;36139;36394;35869;33862;33289;32403;32268;31917;31600;30616;28491;25854;26001;25721;25757;25530;26025;25591;24443;23117;22034;20606;18647;16541;14487;12501;10117;8623;7127;5489;4151;3073;2238;1428;973;1125;27103;27357;27555;27730;27880;28052;28193;28345;28406;28508;28594;28645;28695;28746;28798;28845;28931;29046;29221;29384;29533;29812;30188;30604;31062;31488;31850;32207;32518;32745;32967;33134;33254;33365;33435;33742;34105;34910;35167;35531;35505;35188;34844;35041;34557;34374;34134;33440;33722;33792;34253;33930;34913;35287;36264;37114;36856;37476;37007;36941;36068;36013;34267;34325;34995;35624;36011;35194;33921;33267;33091;32620;32809;32569;31564;30279;27254;27780;28612;29010;28927;30441;30466;29932;29124;28504;27501;25731;24029;22078;19824;17106;15444;13389;10959;8902;6736;5168;3485;2461;3723
"2050";28281;28520;28748;28961;29143;29301;29480;29616;29734;29815;29903;29965;30022;30087;30134;30164;30245;30367;30549;30777;30995;31260;31592;32056;32523;33012;33500;33950;34327;34670;34968;35210;35432;35584;35693;35786;36190;36724;37260;37449;38162;37823;37510;37281;37284;36518;36771;35961;35651;35609;36027;36004;35638;36288;37039;37736;38270;37955;38808;37992;38038;36884;36658;34983;34997;35441;35933;36177;35622;33633;33041;32147;32029;31591;31266;30239;28119;25453;25517;25186;25130;24789;25158;24574;23325;21852;20693;19087;16982;14860;12744;10669;8418;7100;5676;4311;3165;2210;1536;952;1147;27054;27306;27498;27682;27852;28024;28153;28317;28428;28506;28628;28673;28729;28786;28817;28874;28927;29025;29198;29306;29486;29705;30067;30505;30952;31395;31777;32132;32477;32736;32952;33164;33309;33411;33514;33556;33860;34198;35013;35278;35622;35578;35309;34911;35096;34625;34423;34190;33509;33773;33823;34288;33952;34928;35265;36258;37088;36813;37430;36949;36853;36013;35915;34186;34245;34895;35512;35912;35051;33807;33131;32953;32470;32660;32423;31387;30079;27038;27535;28308;28653;28514;29917;29844;29169;28211;27440;26237;24206;22363;20179;17819;15044;13228;11213;8930;7026;5117;3692;2441;3775
"2051";28224;28482;28687;28906;29090;29268;29448;29572;29724;29808;29929;29995;30051;30122;30164;30199;30262;30368;30530;30740;30950;31174;31509;31931;32411;32910;33403;33853;34264;34630;34954;35236;35454;35616;35771;35873;35930;36307;36861;37347;37548;38221;37882;37581;37343;37329;36552;36793;35962;35652;35609;36025;35971;35577;36256;36968;37627;38161;37847;38674;37879;37886;36738;36510;34817;34820;35245;35737;35940;35383;33382;32782;31913;31719;31282;30880;29846;27695;24983;25008;24605;24408;23974;24189;23465;22070;20535;19198;17412;15276;13080;10884;8896;6955;5634;4481;3286;2289;1508;1018;1170;27005;27243;27463;27629;27805;27966;28136;28289;28408;28509;28641;28703;28749;28818;28863;28910;28937;29017;29190;29265;29417;29653;29964;30410;30855;31287;31675;32050;32412;32691;32947;33157;33328;33456;33581;33615;33677;33983;34311;35102;35361;35723;35667;35364;34993;35149;34676;34500;34238;33549;33812;33864;34301;33962;34933;35281;36222;37043;36748;37373;36881;36790;35928;35824;34102;34144;34796;35415;35766;34946;33676;33008;32800;32337;32503;32233;31185;29855;26807;27262;27966;28245;28040;29303;29107;28283;27181;26195;24731;22540;20462;18169;15679;12910;11100;9148;7054;5334;3657;2595;3795
"2052";28172;28417;28648;28848;29041;29224;29401;29542;29682;29808;29918;30008;30080;30145;30196;30246;30290;30394;30536;30715;30913;31121;31420;31845;32314;32794;33290;33755;34173;34565;34918;35205;35468;35661;35812;35934;36017;36054;36444;36960;37435;37616;38285;37941;37638;37406;37354;36573;36801;35975;35649;35592;35986;35951;35513;36181;36856;37547;38054;37728;38533;37737;37753;36584;36341;34643;34633;35059;35508;35696;35136;33130;32559;31606;31388;30922;30500;29400;27204;24497;24423;23913;23636;23060;23109;22235;20775;19062;17525;15681;13458;11205;9080;7356;5538;4463;3409;2381;1553;1023;1206;26955;27193;27417;27575;27755;27920;28092;28258;28385;28503;28631;28698;28786;28850;28894;28934;28991;29027;29183;29262;29380;29588;29897;30313;30747;31176;31581;31960;32322;32633;32907;33139;33330;33482;33602;33700;33736;33798;34073;34424;35201;35444;35806;35739;35435;35030;35216;34749;34545;34291;33591;33836;33896;34320;33957;34921;35252;36196;36993;36709;37295;36811;36697;35830;35746;34008;34032;34712;35288;35640;34817;33553;32858;32667;32179;32338;32021;30970;29587;26566;26928;27596;27780;27477;28604;28242;27266;25968;24705;23048;20660;18437;16026;13467;10846;9064;7247;5368;3834;2564;3896
"2053";28112;28371;28604;28796;28975;29173;29358;29501;29656;29770;29892;30011;30089;30184;30226;30275;30346;30410;30558;30720;30891;31085;31364;31769;32202;32693;33178;33649;34077;34491;34844;35165;35459;35654;35845;35993;36091;36136;36181;36528;37061;37521;37671;38353;38003;37678;37430;37385;36579;36801;35977;35625;35582;35953;35884;35460;36076;36770;37434;37938;37591;38427;37592;37597;36427;36167;34459;34454;34820;35294;35447;34877;32888;32264;31292;31057;30538;30046;28906;26674;23933;23769;23154;22748;22067;21919;20926;19309;17432;15819;13824;11531;9359;7525;5873;4380;3413;2465;1628;1054;1232;26910;27140;27365;27531;27699;27868;28057;28210;28348;28480;28601;28711;28804;28863;28930;28967;29020;29066;29188;29266;29362;29550;29853;30230;30657;31077;31470;31853;32236;32542;32855;33100;33311;33495;33626;33720;33801;33869;33898;34179;34514;35283;35538;35885;35803;35502;35084;35278;34785;34596;34332;33629;33865;33910;34316;33957;34902;35217;36145;36939;36632;37231;36718;36610;35750;35645;33923;33960;34564;35178;35517;34692;33392;32729;32518;32027;32134;31801;30704;29313;26249;26570;27164;27236;26828;27768;27249;26084;24506;23054;21143;18649;16270;13789;11324;8883;7185;5512;3850;2688;3952
"2054";28064;28321;28545;28750;28925;29124;29299;29454;29619;29734;29867;29998;30073;30194;30259;30307;30384;30447;30593;30728;30890;31063;31342;31702;32135;32601;33072;33534;33972;34384;34760;35108;35404;35660;35844;36018;36145;36204;36260;36302;36621;37121;37599;37724;38415;38057;37722;37447;37380;36589;36796;35947;35624;35543;35896;35816;35379;36001;36664;37315;37821;37487;38280;37434;37428;36250;35985;34274;34259;34609;35042;35213;34627;32606;31947;30953;30671;30119;29543;28339;26090;23311;23008;22334;21782;20932;20670;19476;17665;15749;13948;11891;9654;7744;6023;4639;3359;2469;1706;1094;1258;26860;27096;27302;27487;27656;27811;28009;28162;28298;28462;28571;28691;28800;28887;28947;28998;29050;29095;29234;29282;29360;29545;29807;30183;30581;30982;31377;31748;32131;32450;32758;33049;33268;33459;33647;33744;33842;33932;33966;33990;34273;34613;35376;35607;35949;35848;35565;35140;35323;34844;34628;34375;33643;33896;33908;34318;33942;34872;35165;36091;36879;36564;37142;36642;36519;35655;35546;33827;33849;34460;35042;35392;34556;33266;32582;32353;31825;31912;31551;30417;28988;25911;26162;26631;26616;26074;26802;26067;24654;22893;21170;19121;16468;14017;11612;9283;7053;5496;3954;2710;4055
"2055";28017;28279;28484;28701;28879;29057;29243;29418;29554;29696;29829;29968;30073;30186;30266;30338;30408;30507;30612;30760;30922;31064;31317;31667;32084;32505;32992;33416;33879;34270;34680;35018;35341;35620;35830;36022;36166;36255;36337;36377;36391;36705;37180;37645;37818;38450;38066;37751;37464;37382;36583;36780;35949;35564;35499;35831;35756;35276;35905;36569;37203;37691;37349;38128;37282;37256;36079;35786;34099;34028;34392;34812;34961;34323;32304;31613;30587;30267;29599;29009;27728;25404;22595;22210;21379;20691;19750;19255;17836;15982;13927;12018;9926;8020;6213;4767;3560;2441;1707;1141;1306;26813;27039;27266;27437;27598;27769;27944;28131;28255;28404;28546;28668;28772;28884;28972;29019;29084;29142;29255;29309;29382;29543;29793;30139;30524;30910;31291;31643;32017;32369;32669;32953;33208;33425;33618;33756;33867;33962;34027;34065;34096;34362;34697;35470;35671;35994;35914;35614;35201;35378;34877;34667;34383;33674;33889;33911;34299;33918;34831;35124;36031;36793;36502;37056;36540;36434;35555;35459;33712;33739;34348;34925;35238;34410;33126;32434;32165;31618;31660;31259;30099;28618;25512;25677;26047;25874;25169;25685;24661;23033;21070;19147;16896;14229;11817;9535;7380;5384;3948;2787;4142
"2056";27966;28226;28439;28644;28839;28997;29189;29368;29504;29649;29787;29932;30062;30156;30274;30345;30429;30529;30663;30802;30947;31088;31311;31651;32048;32462;32905;33333;33751;34167;34567;34935;35257;35562;35773;36008;36183;36283;36381;36457;36464;36460;36777;37252;37717;37855;38490;38096;37752;37447;37390;36578;36759;35901;35530;35432;35758;35661;35199;35808;36455;37087;37563;37213;37959;37120;37071;35912;35592;33869;33832;34160;34562;34669;34017;31980;31251;30184;29762;29074;28394;27013;24656;21809;21277;20332;19542;18427;17651;16164;14141;11992;10070;8259;6441;4923;3667;2596;1688;1160;1345;26771;26996;27224;27382;27553;27716;27895;28068;28215;28351;28511;28624;28766;28871;28947;29037;29111;29166;29298;29344;29410;29555;29791;30132;30489;30860;31217;31554;31920;32246;32578;32861;33128;33376;33561;33741;33874;33987;34072;34119;34165;34183;34468;34767;35532;35724;36056;35970;35667;35255;35407;34920;34685;34405;33674;33897;33896;34263;33882;34795;35063;35968;36712;36393;36983;36455;36335;35469;35329;33629;33619;34238;34788;35106;34272;32955;32247;31952;31391;31381;30926;29733;28179;25065;25120;25317;25023;24134;24309;23081;21196;19079;16961;14613;12014;9711;7583;5661;3879;2777;4249
"2057";27921;28173;28394;28593;28787;28964;29131;29306;29455;29598;29753;29884;30002;30137;30264;30337;30443;30569;30695;30834;30973;31119;31323;31663;32032;32409;32877;33251;33665;34064;34452;34818;35168;35478;35719;35977;36162;36287;36422;36488;36548;36531;36545;36833;37331;37768;37881;38504;38108;37757;37454;37365;36555;36737;35846;35477;35357;35660;35583;35112;35693;36360;36965;37420;37062;37809;36935;36897;35689;35403;33652;33615;33941;34283;34370;33671;31618;30835;29707;29249;28470;27687;26217;23806;20928;20252;19220;18234;16927;16008;14321;12189;10073;8382;6638;5115;3800;2668;1799;1128;1406;26731;26959;27160;27335;27510;27670;27845;28009;28169;28303;28465;28599;28713;28843;28941;29034;29125;29184;29329;29376;29450;29576;29819;30127;30461;30840;31146;31489;31841;32154;32453;32765;33033;33296;33525;33685;33851;33988;34082;34167;34217;34271;34281;34544;34835;35582;35789;36114;36032;35686;35310;35445;34937;34704;34407;33682;33874;33871;34232;33838;34723;35008;35898;36629;36323;36885;36359;36239;35353;35224;33526;33509;34108;34661;34972;34088;32796;32034;31722;31102;31071;30564;29275;27700;24517;24460;24495;23995;22864;22781;21280;19220;16904;14683;12356;9892;7736;5812;4084;2736;4312
"2058";27880;28131;28353;28543;28734;28906;29077;29257;29410;29540;29700;29830;29982;30101;30213;30342;30442;30557;30716;30890;31011;31149;31369;31674;32020;32407;32822;33214;33585;33977;34346;34712;35062;35376;35646;35902;36131;36274;36426;36531;36583;36607;36628;36606;36913;37363;37801;37910;38521;38110;37750;37436;37353;36532;36670;35796;35397;35280;35595;35475;35021;35584;36242;36829;37277;36910;37619;36759;36707;35496;35171;33461;33396;33677;33990;34032;33288;31222;30366;29196;28647;27782;26881;25346;22864;19920;19169;17953;16775;15360;14193;12365;10254;8391;6758;5291;3935;2758;1864;1204;1418;26696;26911;27109;27296;27447;27628;27806;27962;28107;28266;28402;28556;28678;28798;28914;29029;29116;29194;29354;29417;29472;29621;29847;30143;30466;30813;31110;31449;31755;32068;32360;32661;32929;33208;33440;33632;33810;33969;34091;34194;34266;34314;34353;34356;34603;34913;35631;35848;36167;36066;35745;35335;35466;34949;34717;34413;33663;33842;33832;34191;33785;34675;34931;35821;36555;36230;36795;36256;36136;35255;35128;33387;33400;33987;34503;34808;33931;32584;31813;31460;30795;30704;30117;28774;27125;23892;23642;23521;22766;21442;21025;19306;17070;14651;12425;10198;7869;5954;4194;2884;4312
"2059";27843;28087;28305;28493;28681;28859;29044;29198;29349;29494;29634;29797;29922;30046;30193;30305;30442;30561;30727;30899;31053;31184;31406;31703;32046;32419;32784;33177;33537;33900;34253;34624;34945;35277;35549;35827;36065;36241;36404;36537;36615;36669;36683;36687;36682;36963;37407;37818;37933;38499;38122;37738;37415;37317;36474;36620;35722;35325;35192;35507;35374;34924;35485;36108;36694;37121;36747;37453;36569;36489;35285;34974;33241;33147;33394;33651;33679;32886;30746;29860;28619;27956;26990;25997;24371;21777;18862;17925;16536;15240;13637;12277;10407;8561;6762;5384;4089;2870;1934;1261;1447;26655;26867;27074;27244;27410;27571;27766;27909;28060;28204;28361;28496;28645;28764;28874;29006;29093;29199;29358;29435;29512;29648;29885;30165;30499;30804;31105;31397;31713;31984;32277;32572;32822;33104;33354;33546;33756;33925;34084;34192;34275;34361;34415;34431;34420;34666;34957;35705;35900;36210;36120;35784;35335;35477;34975;34705;34406;33627;33814;33788;34153;33728;34601;34860;35748;36464;36142;36692;36154;36046;35141;35018;33272;33271;33861;34368;34625;33716;32361;31557;31144;30441;30279;29615;28194;26416;23119;22749;22323;21361;19811;19092;17151;14821;12426;10268;8125;6076;4299;2968;4415
"2060";27804;28046;28262;28453;28635;28804;29002;29156;29292;29435;29592;29733;29867;30023;30152;30256;30404;30553;30725;30904;31090;31221;31437;31746;32070;32418;32812;33153;33504;33837;34195;34518;34859;35169;35438;35728;35994;36187;36370;36516;36608;36705;36739;36750;36765;36739;36996;37442;37839;37910;38513;38103;37719;37389;37264;36418;36542;35650;35252;35124;35390;35288;34808;35370;35985;36552;36946;36582;37258;36379;36280;35080;34753;32997;32883;33072;33325;33245;32423;30239;29278;27940;27191;26116;24991;23237;20648;17679;16519;15030;13547;11805;10357;8703;6906;5400;4150;2993;1998;1309;1536;26618;26831;27034;27194;27368;27537;27697;27876;28009;28159;28302;28456;28577;28721;28841;28965;29065;29189;29369;29442;29538;29671;29915;30209;30509;30834;31094;31384;31677;31944;32207;32473;32740;32984;33249;33457;33681;33868;34039;34179;34285;34376;34459;34480;34507;34495;34715;35030;35753;35938;36251;36154;35798;35369;35490;34952;34695;34374;33613;33761;33763;34064;33684;34531;34785;35657;36393;36047;36579;36075;35915;35038;34871;33191;33138;33716;34201;34422;33490;32105;31244;30809;30027;29772;29013;27484;25616;22241;21589;20987;19739;18023;17000;14913;12557;10285;8216;6261;4395;3028;4560
"2061";27772;28015;28214;28415;28586;28766;28941;29095;29254;29387;29541;29688;29817;29958;30113;30211;30364;30523;30711;30908;31086;31252;31476;31775;32115;32461;32819;33161;33476;33805;34143;34458;34749;35062;35347;35630;35894;36104;36316;36477;36614;36692;36778;36799;36828;36814;36776;37030;37454;37843;37923;38487;38088;37682;37335;37218;36354;36470;35560;35173;35015;35307;35189;34699;35242;35837;36400;36801;36394;37065;36165;36093;34856;34495;32757;32576;32742;32922;32781;31879;29676;28603;27193;26317;25131;23862;22050;19340;16299;15039;13388;11741;9975;8656;7040;5519;4190;3042;2093;1363;1570;26583;26802;27000;27145;27331;27483;27654;27836;27945;28108;28267;28400;28541;28661;28792;28924;29041;29159;29340;29441;29555;29697;29944;30239;30557;30844;31115;31399;31645;31908;32160;32407;32644;32895;33140;33367;33586;33805;33972;34133;34264;34376;34484;34538;34541;34567;34553;34804;35077;35783;35996;36280;36169;35818;35377;35477;34955;34666;34332;33567;33743;33674;34040;33583;34465;34710;35583;36293;35961;36491;35945;35813;34916;34765;33070;33006;33544;34000;34196;33244;31793;30906;30392;29553;29204;28301;26638;24654;21139;20318;19402;17994;16055;14780;12682;10402;8219;6337;4546;3127;4666
"2062";27745;27979;28175;28379;28552;28704;28896;29059;29199;29336;29490;29627;29777;29901;30050;30169;30336;30490;30675;30897;31095;31250;31497;31819;32145;32489;32855;33188;33467;33808;34087;34402;34684;34986;35240;35534;35778;36014;36230;36426;36579;36688;36777;36842;36867;36892;36865;36787;37046;37453;37845;37918;38482;38045;37641;37277;37143;36278;36384;35508;35063;34931;35207;35077;34593;35121;35675;36245;36618;36206;36856;35979;35861;34644;34213;32467;32259;32375;32453;32263;31298;29008;27828;26351;25333;24021;22656;20663;17884;14853;13404;11611;9934;8353;7009;5636;4274;3083;2131;1420;1655;26557;26766;26964;27107;27294;27438;27610;27782;27901;28065;28217;28358;28480;28612;28753;28869;29007;29113;29323;29427;29543;29720;29958;30281;30576;30875;31157;31396;31659;31888;32112;32379;32566;32802;33059;33258;33479;33703;33906;34076;34227;34372;34472;34562;34599;34605;34634;34609;34850;35122;35835;36044;36293;36186;35826;35376;35467;34912;34647;34292;33520;33679;33627;33949;33545;34394;34627;35499;36197;35857;36385;35862;35694;34793;34651;32919;32848;33372;33786;33934;32940;31465;30503;29915;28989;28480;27465;25662;23452;19907;18811;17698;16046;13979;12592;10507;8341;6355;4602;3214;4803
"2063";27723;27943;28147;28342;28495;28683;28845;29010;29155;29294;29429;29581;29712;29866;29995;30125;30276;30439;30651;30879;31060;31257;31503;31841;32195;32526;32888;33203;33497;33795;34094;34358;34638;34910;35153;35423;35685;35903;36143;36348;36526;36643;36777;36842;36915;36927;36919;36889;36818;37055;37468;37831;37893;38454;38003;37583;37201;37070;36199;36308;35409;34985;34841;35098;34960;34459;34973;35545;36075;36425;36012;36683;35753;35626;34366;33947;32139;31901;31923;31971;31678;30599;28246;26983;25386;24226;22814;21279;19112;16301;13251;11652;9839;8330;6763;5632;4371;3154;2153;1452;1720;26539;26733;26936;27066;27254;27406;27569;27731;27862;28015;28166;28305;28428;28567;28698;28831;28945;29080;29296;29405;29519;29729;29970;30283;30620;30921;31174;31426;31672;31877;32113;32323;32518;32741;32963;33171;33386;33606;33803;34007;34177;34316;34466;34558;34611;34671;34677;34688;34675;34890;35162;35882;36053;36326;36191;35820;35357;35445;34889;34584;34253;33475;33618;33573;33880;33475;34313;34564;35390;36115;35754;36284;35733;35582;34675;34528;32763;32687;33136;33533;33649;32586;31062;30053;29358;28293;27668;26460;24440;22084;18464;17163;15810;14003;11907;10452;8435;6457;4617;3266;4954
